title,channel,views,likes,mentions_atomberg,sentiment
Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,Quirk Art for Home by Stuti,1410724,5186,True,-0.2093995510662177
Atomberg Renesa 1400mm,AMARDEEP Toor,3302441,31180,True,-0.10374167203954437
Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,Gtfuturetechnology,489585,2517,True,-0.09637741046831955
Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,Lovepreet Singh,319356,2590,True,0.09776942355889724
Ceiling fan 😩 atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo,Utpad Unbox,1057883,4937,True,-0.051001082251082255
Ceiling Fan with Lights &amp; Remote – Stylish &amp; Functional Home Upgrade!,QC Store,2080709,8748,False,0.17281314699792966
Atomberg Renesa BLDC smart ceiling fan app control kaise kare. #shorts #youtubeshorts,Amazing Technique Gyan,362805,2181,True,0.09583333333333331
Modern Ceiling Fan | Bladeless ceiling fan SMART CEILLING FAN with light #viralshort #ceilingfan,Smart Home ,156332,0,False,0.425
Smart Fans with Color Changing LEDs! ,Coloraza Interior Design,562,26,False,0.0
Atomberg BLDC Ceiling fan Sleep Mode Use #atombergfan #renesa  #bldcfan Atomberg Fan remote function,Lighting Adda,344782,1135,True,-0.04333333333333332
How to reset Atomberg Fan . Atomberg renesa smart plus #atomberg #shorts #atombergfan #smartgadgets,TrueTips,233686,1446,True,0.013226600985221678
8 Blades BLDC Fan | Kühl Platin D8 Review 😊,Sumit Jaiswal - PRONIX,581026,5288,False,0.06597222222222222
Atomberg Renesa Helo Smart Bldc Fan ❄️🌪️ #fan #shorts #atomberg #smart #bldc,Travel with Sajal,16756,93,True,0.6
#electrician how to assemble ceiling fan #atomberg Renesa 1200mm  Star Rated Sleek Ceiling Fans,K.S electrical ,608129,0,True,-0.2
Atomberg Renesa Smart + 1200mmCeiling Fan | atomberg renesa plus golden oakwood BLDC Motor fan,SAHARA ELECTRICAL SERVICES,126895,1214,True,-0.059729437229437236
#atomberg Studio Smart+ 1200mm BLDC Ceiling Fan with IoT &amp; Remote #shorts #shortsfeed #ceilingfan,ZFR 07,210083,1605,True,0.05911564625850342
Best BLDC Ceiling Fan In 2025⚡Top 3 BLDC Fan 2025 in India Atomberg Renesa Enzel BLDC Fan,Gadgets Munch,399708,2130,True,0.18706666666666666
Smart fan controller with mobile controller,SHIVA ELECTRICIAN WORKS,206937,863,False,0.20285714285714285
AHAWILL ceiling fan with light Remote Control Pairing Method.,厦门际新,6575,15,False,0.05
"Crompton silent, pro🔥BLDC 🔥🥵BLDC India Numer 1 fans🔥👀#vairal_video #bldcfan ￼",Crazy Govind,942642,0,False,-0.07927927927927923
You NEED This Smart Fan to Beat the Summer Heat 🥵🪭 Dreo Pedestal Fan,This is Tech Today,186072,2466,False,0.17509101035416821
Smart Ceiling Fan 🤔 #fansound #fan #shortvideo #shorts #viralvideo,Triangle Gamer,2878096,9998,False,0.19814814814814818
Smart Fan #fan #atomberg #wifi #air #shorts #short #homedecor #home #homeappliances #smart #gadgets,Breakless Unboxing,6421,43,True,0.0
Unleash the Turbowind power with TurboPoly™ Fan 508S! #dreo #smartphone #homecomfort #tech,DREO,24910,155,False,-0.9375
Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts,Utpad Unbox,2516428,22689,True,0.03913832199546487
Best BLDC Smart Fan For Home | Atomberg Renesa Plus BLDC FAN with Remote Control..,AJAY light Experiment ,304786,2173,True,0.15707070707070708
LG Smart Ceiling Fans - Convenience at Its Best,LG India,2715263,23143,False,0.09854274891774892
SMART ceiling fans?  game. changer. 🙌🏾,Kayla Simone,125734,4102,False,0.3543059000220459
BLDC Smart Fan 💥 Atomberg Studio Smart Plus Fan #shortsvideo #shorts #smartfan,Utpad Unbox,20157,132,True,0.0
Atomberg Renesa Prime Remote 5 Star 1200 3 Blade Ceiling Fan (BLDC Motor with Remote | #fans #shorts,VOLG 999,68480,240,True,0.06666666666666667
BLDC CEILING FAN #havells 1200MM, ELECTRIC WORK,570538,2194,False,0.058333333333333334
Atomberg Renesa Enzel 1200mm BLDC Ceiling fan #viral #youtubeshorts #atomberg #amazon #kerala,SNN Vlogs 🎥,124911,960,True,-1.0
Make Your Ceiling Fans Smart: The Ultimate Guide!,Shane Whatley,79456,1189,False,0.205573126112466
Best BLDC Fan Under ₹2500 😳 Best BLDC Ceiling Fan in 2025 India 🔥Best Ceiling Fan ✅,iGadz Unique,509436,7656,False,0.28067204301075266
Atomberg Renesa 1200mm BLDC Motor 5 Star | Ceiling fan Installation #electricalelectricianwireman,Electrical Electrician Wireman,1650864,26139,True,-0.03335303585303584
Best BLDC Ceiling Fan in India 2025 | Best BLDC Fan Under 4000,SumitYPF,45992,237,False,0.13964285714285712
$500 #dyson Pure Cool Fan vs. $60 #govee Tower Fan,6 Months Later,248229,4810,False,0.2718171296296296
Best Ceiling Fans 2025 | BLDC Fans,The Grapevine,191842,1977,False,0.1344321469029413
Dreo Smart Pedestal Fan DR HAF003S: Features and Review #shorts,Vacuum Chef,92893,691,False,0.002222222222222242
Dreo smart fan,Teofilmvisuals,16755,150,False,0.3333333333333333
Atomberg Erica Smart 1200mm BLDC Ceiling Fan #atomberg #interiordesign #technology,Jeet4Tech,13723,92,True,0.7
Modern Ceiling Fan with LED Light Remote Control 🌐 #fanlight #fan #ledlights #beautifulfans #shorts,TokTak Gadget,433005,2704,False,0.0
Orient bldc fans Ecotech prime Re 1200 mm,RAJESH TECH GURU,71137,336,False,0.3
LED Ceiling Fan Lamp With Remote Control 🪩 #fanlamp #lamp #fanlight #shorts #shortvideo #ledlamps,TokTak Gadget,671465,3022,False,0.1272727272727273
Top 6: Best Smart Fans on 2025 - Best Smart Fans [REVIEWS],Top Trending Gadgets,51,0,False,0.0
Review - Xiaomi Smart Tower Fan,NL Tech,188519,1938,False,0.08787878787878788
Atomberg Erica Smart Fan Pink Colour for Kids  #youtubeshorts #unboxing #atomberg,somsmoments,19121,166,True,0.0
I Tested 3 Smart Fans.. Here&#39;s What I learnt,Alex Teo,27771,338,False,0.21340992095416877
Dreo Fan Review  #dreo  #fan  #shorts,Shantel De Bonsu,99045,958,False,0.12302845528455286
2024 New Bladeless Fan Light2024 new bladeless fan light #interiordesign #lampfactory, aleadhomelightings,265224,1961,False,0.3916666666666666
